timestamp_us,frame_num,x,y,z,v,snr,noise,range_m,doppler_mps,azimuth_deg,power_snr
1762374451074,12,-0.21360118687152863,0.12034327536821365,-0.06309102475643158,0.0,146,544,0.2531569638862262,0.0,150.60301491061873,146
1762374451074,12,-0.23074200749397278,0.1635577231645584,-0.08507928997278214,0.0,144,531,0.2953497730004133,0.0,144.66969853815783,144
1762374451074,12,-0.24260874092578888,0.20034103095531464,-0.12222710996866226,0.0,125,520,0.3375425843788104,0.0,140.45084547938558,125
1762374451074,12,-0.1160302683711052,0.312610000371933,0.05241144821047783,0.0,125,520,0.33754258311260554,0.0,110.36322418338564,125
1762374451074,12,-0.163497194647789,1.2857195138931274,0.1760663539171219,0.0,202,484,1.3079775846875,0.0,97.2470623912891,202
1762374451074,12,-0.16877129673957825,1.2824184894561768,0.38714227080345154,0.0,269,487,1.3501703857458414,0.0,97.49726395517976,269
1762374451074,12,-0.1740453988313675,1.3124269247055054,0.431183397769928,0.0,263,494,1.3923632270563382,0.0,97.55411100991329,263
1762374451074,12,-0.3138091266155243,1.3920592069625854,0.14712585508823395,0.0,197,505,1.434556036156115,0.0,102.70372245420101,197
1762374451074,12,0.17931950092315674,0.6423585414886475,-1.2701066732406616,0.0,197,505,1.4345560081938986,0.0,74.40250113081984,197
1762374451074,12,0.046148400753736496,0.9824078679084778,1.1016043424606323,0.0,165,518,1.4767488009640404,0.0,87.31052000431879,165
1762374451074,12,2.532888174057007,3.947026014328003,-0.8586491346359253,0.0,124,706,4.76778934061383,0.0,57.310871814427024,124
1762374451074,12,2.555302858352661,4.004171371459961,-0.7569444179534912,0.0,137,703,4.809981904518537,0.0,57.45560089352817,137
1762374451074,12,-0.2215123474597931,0.1087859719991684,-0.056447677314281464,0.42954546213150024,141,509,0.2531569632760063,0.42954546213150024,153.84408308602616,141
1762374451074,12,-0.24920137226581573,0.14356966316699982,-0.0672154426574707,0.42954546213150024,135,497,0.295349772054578,0.42954546213150024,150.0529350362007,135
1762374451074,12,-0.163497194647789,1.2704170942306519,0.26479092240333557,0.42954546213150024,167,478,1.307977506900772,0.42954546213150024,97.33340998867918,167
1762374451074,12,-0.12657848000526428,1.2797576189041138,0.41128841042518616,0.42954546213150024,233,481,1.350170297145381,0.42954546213150024,95.64864841022991,233
1762374451074,12,-0.1740453988313675,1.295430064201355,0.47983789443969727,0.42954546213150024,232,484,1.3923631914954584,0.42954546213150024,97.65205879904161,232
1762374451074,12,-0.3138091266155243,1.3771851062774658,0.2506709396839142,0.42954546213150024,175,486,1.4345559957358547,0.42954546213150024,102.83640504046075,175
1762374451074,12,0.22414937615394592,0.7991786599159241,-1.1700519323349,0.42954546213150024,175,486,1.4345560280643794,0.42954546213150024,74.33253691606201,175
1762374451074,12,0.0,0.9212563633918762,1.1541550159454346,0.42954546213150024,142,493,1.4767488235722523,0.42954546213150024,90.0,142
1762374451074,12,2.532888174057007,3.981841802597046,-0.6791379451751709,0.42954546213150024,121,635,4.767789319146126,0.42954546213150024,57.53916491738331,121
1762374451074,12,2.555302858352661,4.033234596252441,-0.5825573801994324,0.42954546213150024,133,633,4.809982027776996,0.42954546213150024,57.64321994755257,133
1762374451074,12,2.532888174057007,3.8363568782806396,-1.2643803358078003,-0.8590909242630005,121,567,4.767789239614777,-0.8590909242630005,56.56590348747705,121
1762374451074,12,2.7056148052215576,3.821629285812378,-1.1003285646438599,-0.8590909242630005,138,560,4.809981790254941,-0.8590909242630005,54.70249221483311,138
1762374451074,12,-0.21360118687152863,0.11578821390867233,-0.07110605388879776,-0.42954546213150024,145,504,0.2531569639822748,-0.42954546213150024,151.53891325004523,145
1762374451074,12,-0.23997169733047485,0.150437131524086,-0.08374805748462677,-0.42954546213150024,140,493,0.29534976416667835,-0.42954546213150024,147.91659377522964,140
1762374451074,12,-0.07383744418621063,0.2238810658454895,-0.1779235452413559,-0.42954546213150024,140,493,0.2953497718965041,-0.42954546213150024,108.25289451354418,140
1762374451074,12,-0.24260874092578888,0.18927936255931854,-0.13874192535877228,-0.42954546213150024,120,483,0.3375425900782265,-0.42954546213150024,142.0392291078253,120
1762374451074,12,-0.12657848000526428,0.29267194867134094,0.11070691049098969,-0.42954546213150024,120,483,0.3375425916384229,-0.42954546213150024,113.38812986540029,120
1762374451074,12,-0.163497194647789,1.2945945262908936,0.08999403566122055,-0.42954546213150024,162,480,1.3079775405620055,-0.42954546213150024,97.19790345000327,162
1762374451074,12,-0.16877129673957825,1.2957286834716797,0.33994629979133606,-0.42954546213150024,229,483,1.3501703812912769,-0.42954546213150024,97.4211121757147,229
1762374451074,12,-0.21755674481391907,1.318548321723938,0.3908640742301941,-0.42954546213150024,223,491,1.3923632207361945,-0.42954546213150024,99.36922738307929,223
1762374451074,12,0.17931950092315674,0.4939355254173279,-1.33484947681427,-0.42954546213150024,161,499,1.4345559983604517,-0.42954546213150024,70.04696018596384,161
1762374451074,12,-0.3138091266155243,1.3988053798675537,0.053088609129190445,-0.42954546213150024,161,499,1.4345560494846068,-0.42954546213150024,102.64442932054966,161
1762374451074,12,0.046148400753736496,1.0421617031097412,1.0452542304992676,-0.42954546213150024,141,508,1.4767488265434106,-0.42954546213150024,87.46451784913528,141
1762374451074,12,2.532888174057007,3.9071805477142334,-1.0248082876205444,-0.42954546213150024,124,690,4.767789253007109,-0.42954546213150024,57.046072891662035,124
1762374451074,12,2.7056148052215576,3.865325450897217,-0.9353245496749878,-0.42954546213150024,138,686,4.809981738927142,-0.42954546213150024,55.00910408199786,138
